,raw,iq_dr,original_ph,recovered_ph,mix,pll_vco,costas_vco,ed,v,acc,angle,angle_c,mon,mon_iq,demon
20,(0.9992290362407229+0.03925981575906861j),(6.11851320423648e-16+2.4039703852229094e-17j),0.03926990816987242,0.005937412841137135,(-0.0010982122508216437+0.0005622306774399359j),(0.9999737259824365+0.007248954738646442j),(-0.6908581769257905-0.7229903037902881j),-0.0005687412685553079,0.000215630295608799,0.0003929195559365814,0.007249018225701707,0.02070914330845372,(0.0007939968088477562-0.0004064873282825187j),[0.62503312+0.00944909j],[0.55079659]
21,(0.9991500236519368+0.041221720443646415j),(-0.706505757146984-0.029148158057878525j),0.04123340357836603,0.0072490182257016755,(-0.7052985018261646-0.029647498138119316j),(0.9999628266996924+0.008622367352468683j),(0.020707663089920333-0.9997855733552842j),0.024534042262259508,0.00022249219975380036,0.0005080426814007367,0.00862247419467434,-0.006232329051396913,(0.7051472670348949+0.02964114092456934j),[0.65313894+0.01066722j],[0.60150612]
22,(0.999067159027095+0.04318346620559032j),(-0.999067159027095-0.04318346620559032j),0.043196898986859654,0.008622474194674545,(-0.9990121203151575-0.043582606291286505j),(0.9999609442087378+0.00883798943026218j),(0.702686154930579-0.7114999421425686j),0.03496713669104872,0.001540665421050848,0.024570922830364994,0.00883810449028314,-0.00652380162817989,(0.7107970658039594+0.031009021854672695j),[0.67730748+0.01191971j],[0.64746131]
23,(0.9989804426856664+0.04514504548175642j),(-0.7063858452957751-0.03192236779712512j),0.045160394395353284,0.008838104490282994,(-0.7061836684894321-0.03192030374565676j),(0.9999589530746217+0.009060472719818958j),(0.999978720081631-0.006523755352793388j),0.02567781327500327,0.0016361869503177964,0.025677266853232884,0.00906059669003694,0.020391937354723146,(0.004606969487363204+0.00020824025242351915j),[0.69890438+0.01325805j],[0.68925347]
24,(0.99888987496197+0.04710645070964266j),(-7.339723728437259e-16-3.4613258448453866e-17j),0.047123889803846894,0.009060596690036782,(-0.0004527873200535727-0.0001432320458719547j),(0.9999438071471067+0.010601063538623128j),(0.6925414899073568+0.7213780456576833j),0.00013912369947563069,0.0002721457401173045,9.634893411627662e-05,0.010601262111087788,0.018544745106701163,(-0.0003266308320388262-0.00010332445332666232j),[0.71779125+0.01466308j],[0.72626915]
25,(0.9987954562051724+0.049067674327418015j),(0.7062550401009888+0.034696085253970346j),0.04908738521234052,0.010601262111087806,(0.7058980664607454+0.034077723782349814j),(0.9999251233546721+0.012237143626836542j),(-0.018543682178606306+0.9998280511424246j),-0.026592538603488803,0.0002940063260400877,0.0004931235841854156,0.012237449061405585,-0.008400300911419991,(0.7057766880946528+0.034071864156676665j),[0.73273002+0.01606528j],[0.75688381]
26,(0.9986971867792875+0.05102870877395161j),(0.9986971867792875+0.05102870877395161j),0.05105088062083415,0.01223744906140567,(0.9987393910202715+0.05143170540439128j),(0.9999217560393251+0.01250926853307306j),(-0.7011419929382842+0.7130216726990359j),-0.03920613699713278,0.0017727446161716414,0.027489069029581075,0.012509594801522889,-0.00875300439033542,(0.7121228311756905+0.03667192061720312j),[0.74409685+0.01747045j],[0.78121736]
27,(0.9985950670631749+0.05298954648884189j),(0.7061133435798074+0.03746926765425997j),0.05301437602932777,0.012509594801522805,(0.7065964017308859+0.03741624615119819j),(0.9999180350188173+0.012803251310009601j),(-0.9999616927016487+0.008752892622067531j),-0.028574314422150915,0.0018712017286857594,0.02857321981736316,0.012803601127562977,0.018153261505490577,(0.006184762431489736+0.0003275003848822853j),[0.75346224+0.01893942j],[0.80083034]
28,(0.9984890974505379+0.05495017991244575j),(8.559575340234316e-16+4.710619335964351e-17j),0.05497787143782139,0.01280360112756318,(-0.00014191380539079287-0.0005259856925248288j),(0.9998937669533429+0.014575829576873124j),(-0.6941546847735952-0.7198258633911889j),0.0005241256220026605,0.0003275306114730231,-0.00036382425592302133,0.014576345743734618,0.016483641317493258,(0.00010215322749255664+0.0003786181052530973j),[0.76085779+0.02045328j],[0.81581739]
29,(0.9983792783499226+0.05691060148590771j),(-0.705960757917362-0.04024187223209055j),0.056941366846315,0.014576345743734453,(-0.7060295488309485-0.04024409412383205j),(0.999864742140296+0.016446805912377266j),(0.01648289486474943-0.9998641478605369j),0.029948852491106792,0.0003739597776863201,0.0004936437869308023,0.016447547472420377,-0.01054531064065476,(0.7059336332062156+0.04023862687754457j),[0.76517584+0.02193602j],[0.82512073]
30,(0.9982656101847159+0.05887080365118903j),(-0.9982656101847159-0.05887080365118903j),0.05890486225480862,0.016447547472420165,(-0.9987592866234328-0.05818491044155085j),(0.9998593016770998+0.016774291334729297j),(0.6996109426860962-0.7145239876126425j),0.04175064033481748,0.001946848327720963,0.02920920484238981,0.0167750780838934,-0.01095251597045136,(0.7136374681433334+0.04157451422758139j),[0.76688558+0.02339904j],[0.82943434]
31,(0.9981480933931443+0.06083077885109687j),(-0.7057972854667169-0.043013856230469896j),0.060868357663302244,0.016775078083893558,(-0.7059530453313099-0.04478906053714352j),(0.9998529588538688+0.01714819731527912j),(0.9999400217965322-0.010952296998833386j),0.03294089674041492,0.002192597675881301,0.03293892100460781,0.017149037861579723,0.01591411240956178,(0.007731807419699394+0.0004905430933015238j),[0.76762015+0.02491539j],[0.83077587]
32,(0.9980267284282716+0.06279051952931337j),(-9.7778419074655e-16-6.15169670066984e-17j),0.06283185307179587,0.017149037861579508,(0.00010885305998373675+0.00017160984375371515j),(0.9998176791057434+0.019094725648845307j),(0.6957647406862438+0.7182697443285523j),-0.00016971797629462918,0.00042956697733930637,-0.00011808378376642675,0.019095886189300686,0.014415289995693794,(7.818585956389917e-05+0.00012326215859724378j),[0.7674459+0.02646473j],[0.82949819]
33,(0.9979015157579979+0.0647500181304249j),(0.7056229287488147+0.04578517690197534j),0.06479534848028949,0.019095886189300693,(0.7050008770128873+0.04588355766066073j),(0.9997734087851412+0.021286875913084015j),(-0.014414790749930207+0.9998961015063694j),-0.03241339380063995,0.00046144526646910145,0.00046723228913130987,0.021288483865181985,-0.012609968547532683,(0.7049276284837575+0.045878790428137375j),[0.76525904+0.02796133j],[0.82469745]
34,(0.9977724558650571+0.06670926709995102j),(0.9977724558650571+0.06670926709995102j),0.06675884388878311,0.021288483865181895,(0.99757622026702+0.06736791854952613j),(0.999764172403493+0.02171634357710185j),(-0.6981342049790082+0.7159669209106858j),-0.04611737235635206,0.0021992766056775402,0.03219611508572274,0.02171805084252129,-0.013064096588975225,(0.7142315747982984+0.0482332012120661j),[0.76150494+0.02942094j],[0.81714911]
35,(0.9976395492470157+0.06866825888437376j),(0.7054376904524569+0.04855579150941417j),0.06872233929727672,0.021718050842521208,(0.7048563715374403+0.0480723113965201j),(0.9997540450591424+0.02217767769362134j),(-0.9999146659038358+0.013063724982572265j),-0.032754071482048515,0.0022754665123726715,0.0327512764429629,0.022179496108990393,0.013680342856929857,(0.009208049789978898+0.000628003455360713j),[0.75777619+0.03093196j],[0.80883976]
36,(0.99750279641627+0.07062698593116667j),(1.0994297460945471e-15+7.784380102862558e-17j),0.07068583470577035,0.022179496108990282,(0.000397751372288765-0.00026696003302121625j),(0.9997028524377418+0.02437635796920211j),(-0.6973674526002778-0.7167137755434866j),0.000275715574618899,0.0005183805189414861,-0.0001922750679142034,0.024378772714667932,0.012362186086663436,(-0.00028507388776068365+0.00019133393318584974j),[0.75408754+0.03247648j],[0.80002578]
37,(0.9973621979000453+0.07258544068882397j),(-0.7052415734342413-0.05132565732648136j),0.07264933011426397,0.024378772714667818,(-0.7059232252819191-0.05064615293681846j),(0.9996447967958253+0.026651083261909365j),(0.012361871216675785-0.9999235891507022j),0.03342326631768977,0.0005512555752861388,0.00041317411385993844,0.026654239227040605,-0.01461869581474449,(0.7058692850887363+0.050642283021258894j),[0.74927067+0.03395883j],[0.78969017]
38,(0.9972177542403927+0.07454361560688955j),(-0.9972177542403927-0.07454361560688955j),0.07461282552275758,0.026654239227040577,(-0.9975437213911218-0.07471876458762068j),(0.999630847082619+0.027169276046403748j),(0.6966946151895976-0.7173678367238236j),0.04810660346683748,0.002364212594308625,0.033515611590406905,0.02717261974598209,-0.015113471038393915,(0.7156057814517817+0.05360083851489809j),[0.7436964+0.03539456j],[0.77843444]
39,(0.9970694659941878+0.07650150313598628j),(-0.7050345807185414-0.05409473163841994j),0.07657632093125119,0.027172619745982285,(-0.7045310538160495-0.05415297987941009j),(0.9996157179832192+0.027720323968040344j),(0.9998857936704997-0.015112895682662974j),0.034991390464510747,0.002492464623515346,0.03498739422624168,0.02772387532126823,0.011665142174533604,(0.01064750432151857+0.0008184083358228716j),[0.73887885+0.03688127j],[0.76801166]
40,(0.996917333733128+0.07845909572784494j),(-1.220871621770789e-15-9.608468044710109e-17j),0.07853981633974483,0.0277238753212683,(-0.0003837547497301962+0.0008528707312557264j),(0.9995473876299067+0.030083548364994758j),(0.6988103576963477+0.7153069858293728j),-0.0008631807943578615,0.0005936327652744031,-0.0006031996796618347,0.030088087915576853,0.01053201734368006,(-0.00027450245332721196+0.0006100643920766267j),[0.73475051+0.03840054j],[0.75847071]
41,(0.9967613580437309+0.08041638583533339j),(0.7048167154974316+0.05686297174267785j),0.08050331174823845,0.03008808791557671,(0.7046123862019738+0.05677469360523415j),(0.999469300745051+0.03257478884350161j),(-0.010531822636915036+0.9999445388180009j),-0.03555175587771872,0.0006463000558931005,0.0003744247873350352,0.0325805525390922,-0.016453687920856712,(0.7045733075661839+0.056771544813619165j),[0.73005393+0.03984934j],[0.74861672]
42,(0.9966015395273318+0.08237336591248569j),(0.9966015395273318+0.08237336591248569j),0.08246680715673206,0.03258055253909209,(0.9968525558707791+0.08330155672439914j),(0.9994497871777918+0.03316810079378691j),(-0.6953770786574291+0.7186450573668892j),-0.05078508713471389,0.0025598288623228313,0.03531478553110034,0.0331741853043666,-0.016980624752111803,(0.7163831622000862+0.05986425201095699j),[0.72506659+0.04124893j],[0.73882919]
43,(0.9964378788000807+0.08433002841453112j),(0.7045879811306779+0.059630334949569326j),0.08443030256522568,0.03317418530436678,(0.7061326840225797+0.0592432103827799j),(0.9994281418969263+0.033814038274913354j),(-0.9998558326556842+0.01697980872708513j),-0.03578953397135032,0.0026357695299994784,0.03578437428928337,0.0338204853602597,0.0096674086587548,(0.011989997910646645+0.0010059383806780666j),[0.72121475+0.04271105j],[0.73062125]
44,(0.9962703764929413+0.08628636579792337j),(4.881550654773347e-15+4.2278810591719897e-16j),0.08639379797371931,0.0338204853602595,(-0.0005572218504822145+0.0006379180981468993j),(0.9993383093538304+0.03637228969735022j),(-0.7002379550311426-0.7139095225123443j),-0.0006563952204932002,0.0007526267783965486,0.00045963284689037447,0.03638031422258253,0.008700524043915876,(0.00039780598521120265-0.00045541580485003566j),[0.71835304+0.04421608j],[0.72386974]
45,(0.9960990332516871+0.08824237052036951j),(-0.7043483811456319-0.06239677858292914j),0.08835729338221293,0.03638031422258248,(-0.7036505536118914-0.06209518357179795j),(0.999238969151892+0.03900618576923574j),(0.008700414273995512-0.9999621506794449j),0.03646071398798372,0.0007454835756400998,0.0003172233164211214,0.03901608375258201,-0.018435214193772333,(0.703623920916529+0.062092833311290015j),[0.71515084+0.04564685j],[0.71725107]
46,(0.9959238497369003+0.09019803504085915j),(-0.9959238497369003-0.09019803504085915j),0.09032078879070655,0.03901608375258192,(-0.9973821329632764-0.0899731427177414j),(0.999209329046752+0.03975822865696777j),(0.6939517003472885-0.7200215535559384j),0.05100059761934983,0.0026662876787140496,0.03539195143667569,0.03976871053097856,-0.01899478044035241,(0.7181366328651538+0.06478260199793834j),[0.71181493+0.04702195j],[0.71098793]
