open_time,open,high,low,close,volume
2020-08-04 08:00:00,386.95,402.7,380.75,389.53,9329.10707
2020-08-05 08:00:00,389.84,408.03,384.16,401.31,10659.34185
2020-08-06 08:00:00,401.48,404.48,391.37,395.05,6850.65582
2020-08-07 08:00:00,395.05,398.58,375.54,379.6,5984.2006
2020-08-08 08:00:00,379.6,397.36,376.26,397.36,6248.9546
2020-08-09 08:00:00,397.46,400.46,384.08,389.99,7485.71662
2020-08-10 08:00:00,390.65,400.11,386.0,395.83,6455.04293
2020-08-11 08:00:00,395.6,398.45,366.6,378.95,10143.25337
2020-08-12 08:00:00,378.95,389.48,365.88,387.12,6633.10863
2020-08-13 08:00:00,387.47,431.88,377.24,424.74,19300.1927
2020-08-14 08:00:00,424.85,444.5,418.19,438.12,12332.46421
2020-08-15 08:00:00,438.47,443.18,427.38,432.48,10014.95469
2020-08-16 08:00:00,432.88,436.61,412.28,434.0,6956.85567
2020-08-17 08:00:00,434.0,447.22,420.76,431.14,8034.69006
2020-08-18 08:00:00,431.4,434.87,413.53,422.31,7261.64646
2020-08-19 08:00:00,422.16,426.5,393.79,407.92,8047.80007
2020-08-20 08:00:00,407.88,419.1,402.43,416.02,5069.7721
2020-08-21 08:00:00,416.15,419.0,384.5,387.21,8758.23577
2020-08-22 08:00:00,388.0,397.4,379.53,395.88,6830.22186
2020-08-23 08:00:00,395.7,397.21,383.39,391.14,3197.48293
2020-08-24 08:00:00,391.12,410.36,387.51,408.05,4481.44825
2020-08-25 08:00:00,407.78,409.12,370.0,383.33,7156.39528
2020-08-26 08:00:00,383.33,393.0,377.64,385.77,4978.3165
2020-08-27 08:00:00,386.25,396.86,371.5,382.73,5388.83367
2020-08-28 08:00:00,383.28,398.0,379.88,395.43,4386.1237
2020-08-29 08:00:00,395.42,405.7,392.05,398.77,3781.00488
2020-08-30 08:00:00,398.52,429.51,398.32,428.9,5380.76501
2020-08-31 08:00:00,429.57,438.85,418.37,433.99,5951.22969
2020-09-01 08:00:00,433.99,489.4,429.46,475.72,11729.54859
2020-09-02 08:00:00,475.38,481.44,421.54,440.11,13701.68865
2020-09-03 08:00:00,440.58,451.65,373.15,382.05,14065.79715
2020-09-04 08:00:00,382.07,400.61,360.0,386.08,10207.47997
2020-09-05 08:00:00,386.03,394.86,310.13,334.96,17672.26702
2020-09-06 08:00:00,334.83,360.11,317.31,352.84,9289.64649
2020-09-07 08:00:00,352.2,358.4,322.01,353.48,8985.65051
2020-09-08 08:00:00,353.75,356.14,325.69,336.79,8175.46179
2020-09-09 08:00:00,337.17,358.98,330.86,351.01,6305.16548
2020-09-10 08:00:00,350.41,377.7,350.41,368.0,6927.07831
2020-09-11 08:00:00,367.78,375.03,355.66,374.33,4978.51654
2020-09-12 08:00:00,374.0,388.18,365.05,387.4,3064.23732
2020-09-13 08:00:00,387.68,389.98,352.0,365.96,7292.28318
2020-09-14 08:00:00,366.0,384.5,356.34,376.72,6591.86046
2020-09-15 08:00:00,377.36,382.31,362.48,363.89,4957.37064
2020-09-16 08:00:00,364.25,373.57,354.07,365.4,4161.26804
2020-09-17 08:00:00,365.01,394.2,363.53,389.4,7796.00283
2020-09-18 08:00:00,389.34,392.58,375.23,383.89,3749.48074
2020-09-19 08:00:00,384.5,388.26,377.29,385.13,3200.75879
2020-09-20 08:00:00,385.2,385.24,365.0,370.94,4676.31996
2020-09-21 08:00:00,370.68,376.28,330.98,340.0,7047.07302
2020-09-22 08:00:00,340.0,346.92,335.82,344.0,3960.72226
2020-09-23 08:00:00,344.0,344.4,313.83,320.26,5283.37809
2020-09-24 08:00:00,320.48,353.0,316.83,349.0,5143.11049
2020-09-25 08:00:00,348.95,358.18,337.68,351.32,3488.08205
2020-09-26 08:00:00,352.26,356.14,346.06,353.97,1585.62494
2020-09-27 08:00:00,354.3,362.02,347.3,357.56,1640.85868
2020-09-28 08:00:00,357.81,368.0,351.6,354.0,3659.69456
2020-09-29 08:00:00,353.53,360.68,350.5,359.55,3956.0371
2020-09-30 08:00:00,360.03,361.34,351.55,359.52,2085.7669
2020-10-01 08:00:00,360.0,369.09,345.54,352.94,4656.05337
2020-10-02 08:00:00,352.79,354.0,334.6,345.51,4493.41901
2020-10-03 08:00:00,345.88,351.07,343.99,346.27,1402.86173
2020-10-04 08:00:00,345.45,354.42,344.13,352.46,1797.3237
2020-10-05 08:00:00,352.66,355.68,349.0,353.52,2792.42972
2020-10-06 08:00:00,353.92,355.03,336.52,340.31,4079.7669
2020-10-07 08:00:00,340.53,342.56,333.5,341.7,1910.48458
2020-10-08 08:00:00,341.72,353.18,334.5,350.9,2105.14265
2020-10-09 08:00:00,351.26,368.45,347.47,365.4,2393.6219
2020-10-10 08:00:00,365.29,378.64,365.0,370.69,1920.18954
2020-10-11 08:00:00,370.48,377.41,369.49,374.74,1339.11096
2020-10-12 08:00:00,373.97,394.89,365.76,386.7,3428.63066
2020-10-13 08:00:00,386.7,387.7,374.38,381.26,2328.2153
2020-10-14 08:00:00,381.26,387.55,373.14,379.34,2018.62283
2020-10-15 08:00:00,379.27,381.63,370.35,377.75,1728.41512
2020-10-16 08:00:00,377.77,380.0,359.29,365.65,3360.77495
2020-10-17 08:00:00,365.49,370.33,363.81,368.24,908.89388
