,raw,iq_dr,original_ph,recovered_ph,mix,pll_vco,costas_vco,ed,v,acc,angle,angle_c,mon,mon_iq,demon
1663,(-0.9876007055447185-0.15698677144133624j),(0.698339155995303+0.1110064106427537j),-2.9839538051461183,-2.983838591456321,(0.6971153969788879+0.11063602801249979j),(-0.9872657750184285-0.1590795067796661j),(0.9996468070584819-0.02657557408189621j),-0.0002549986052712977,0.0019901807614988894,-0.0002549085415638189,3.301350870178702,-0.00012834700815212569,(-0.01852624187604292-0.0029402159585729323j),[-0.71921537-0.09568417j],[0.72555291]
1664,(-0.9872840696762146-0.1589659264231536j),(-6.194371394204548e-14-9.973765581082894e-15j),-2.9819494813049747,-2.9818344370008845,(-0.0006766860054765909-0.0005392488931903116j),(-0.9869450759976264-0.16105718538469352j),(0.7071975304020303+0.707016020322927j),-0.0004247351004674443,0.0019873290702420825,-0.0003003716141256348,3.303354382561856,0.00021171119824270844,(-0.00047842784660027764-0.00038125760642695723j),[-0.71968635-0.09726402j],[0.72622968]
1665,(-0.9869634636286927-0.1609444670128616j),(-0.6978885579151538-0.11380492401923971j),-2.9799451329201383,-2.9798309246177297,(-0.6975446111973903-0.11392985491790088j),(-0.98662258874238-0.16302106423184856j),(-0.0002117111967087444+0.9999999775891844j),-9.793756063418424e-05,0.0020033484118950427,2.0734478164598363e-08,3.305344563323355,-0.02600645781008411,(-0.6975445955648466-0.1139298523646399j),[-0.7193937-0.09871903j],[0.72613601]
1666,(-0.9866388885444773-0.1629223852382428j),(-0.9866388885444773-0.1629223852382428j),-2.977940759991609,-2.9778407438562313,(-0.9873749934548928-0.16315936826252986j),(-0.9862966641347389-0.16498148476930954j),(-0.688480403984123+0.7252549436783309j),-1.3796063817378412e-05,0.0020038673422877523,9.498319590379432e-06,3.307331892393597,-0.02634451103057554,(-0.7160985952675206-0.11833213843983313j),[-0.71851464-0.10008147j],[0.72545178]
1667,(-0.9863103455819159-0.16489967312909312j),(-0.6974267337155206-0.1166016770850437j),-2.975936362519387,-2.9758534147859894,(-0.6976855265320461-0.11659009220572124j),(-0.9859641697570658-0.1669570482347476j),(-0.999653003438903+0.026341463808617974j),0.00011277505564998014,0.001997188487396658,-0.00011273592309349206,3.309335240805492,-4.277933661998162e-05,(-0.018378058046940468-0.0030711536942804383j),[-0.71839762-0.10157075j],[0.7255428]
1668,(-0.9859778359153755-0.16687632271725336j),(-6.086038168664476e-14-1.0300593304520722e-14j),-2.9739319405034728,-2.9738500663740943,(-0.0002984427620417113-0.0007043383000239422j),(-0.9856276306432745-0.16893245310633742j),(-0.707137030098487-0.707076530980552j),-0.0006446252045937001,0.0020281577642431423,0.00045583835270301867,3.31133910814778,0.0002886460401630438,(0.00021102187288070759+0.0004980210818176683j),[-0.7188644-0.10315152j],[0.72622774]
1669,(-0.9856413607352397-0.1688523260366439j),(0.6969536899938386+0.11939662475963522j),-2.971927493943866,-2.9718461990318064,(0.6965257505831434+0.11934031450482603j),(-0.9852882752007831-0.1709005990389322j),(0.0002886460360575086-0.999999958341732j),-4.069227212843973e-05,0.0020038481901916995,-1.1745663048047567e-08,3.3133362966351765,-0.025972422485210565,(-0.696525721567087-0.11934030953331523j),[-0.71856519-0.10459548j],[0.72613808]
1670,(-0.9853009212479049-0.17082767512329444j),(0.9853009212479049+0.17082767512329444j),-2.969923022840566,-2.9698490105444098,(0.9856730087211829+0.17063146054807599j),(-0.9849396356080731-0.17289856624112387j),(0.6885050878730787-0.7252315106039479j),-0.00033093018855254175,0.0019913741119173393,-0.00022784711854922227,3.3153644543994196,-0.026310405166693373,(-0.7148411250764017-0.12374731188983908j),[-0.71767546-0.10593494j],[0.72545194]
1671,(-0.9849565186757773-0.1728023620153765j),(0.6964694335295653+0.12218972198613046j),-2.9679185271935737,-2.967820852780166,(0.6954606794311803+0.12230931814167734j),(-0.9845911958945163-0.1748718872975478j),(0.9996539012558835-0.026307369763858317j),0.00022314089120661906,0.00201573754355899,0.0002230636624244114,3.3173683025896112,-8.636856286194441e-05,(-0.018295741250020193-0.00321763645791849j),[-0.71754164-0.10740041j],[0.72553495]
1672,(-0.9846081542572686-0.17477637875323654j),(-4.054647831992823e-14-7.197347108403104e-15j),-2.965914007002889,-2.965817004589975,(-0.0008864773159408436-0.00026102235502638174j),(-0.984241008542979-0.1768322286866835j),(0.7071678503457544+0.7070457067526574j),-0.0001019803514055883,0.0019998935709155934,-7.21172258809945e-05,3.3193596767015285,0.0002349991484481386,(-0.0006267799803695925-0.00018455473548787115j),[-0.7179872-0.10895727j],[0.72620747]
1673,(-0.984255829246793-0.17674971737942824j),(-0.6959739712827239-0.12498092373178654j),-2.9639094622685116,-2.9638256304780572,(-0.6957465554518618-0.12548556339959918j),(-0.983882561839795-0.1788158396439256j),(-0.00023499914627669264+0.9999999723877002j),-0.000477623476369482,0.002003745580932865,1.1224110918853434e-07,3.3213754142450873,-0.02585885321569281,(-0.6957465362406994-0.12548555993465418j),[-0.71766751-0.11037059j],[0.72610482]
1674,(-0.9838995449147635-0.17872236993874419j),(-0.9838995449147635-0.17872236993874419j),-2.961904892990441,-2.9618098929344985,(-0.9836572215390486-0.1786936983434066j),(-0.9835229818750502-0.18078314114875252j),(-0.6885874474457754+0.7251533129070786j),7.987828057751112e-05,0.002000728153082712,-5.500318132922584e-05,3.323375307816003,-0.026194598997832316,(-0.7133022929640133-0.12958032734933944j),[-0.71676046-0.11167854j],[0.72540848]
1675,(-0.9835393025475879-0.18069432847824593j),(-0.6954673103948441-0.12777018498890932j),-2.9599002991686785,-2.959809999363584,(-0.6951577888291381-0.12784169233019765j),(-0.9831587642773351-0.1827535067369804j),(-0.9996569411083654+0.026191603499327733j),-6.243378999595817e-05,0.002007078458581157,6.241237152916161e-05,3.3253790533969356,-2.7719831623338603e-05,(-0.018207297174482183-0.003348378916195584j),[-0.71661022-0.11312461j],[0.72548405]
1676,(-0.9831751034476652-0.1826655850473009j),(-8.188582674814686e-14-1.5213691231175862e-14j),-2.9578956808032237,-2.9578062537826506,(-0.0001240517614941985-0.0002872521695483262j),(-0.9827911566863564-0.1847201730702245j),(-0.7071263817958319-0.7070871800339301j),-0.0002597435936191516,0.0020138062115303275,0.0001836715475505576,3.327379781550018,0.00030015307232304685,(8.77154102131745e-05+0.00020311232652455436j),[-0.71703846-0.11467234j],[0.72614981]
1677,(-0.9828069489333814-0.18463613169761162j),(0.6949494581880544+0.13055746077543354j),-2.955891037894076,-2.955805525629568,(0.6957704686115485+0.1302303157025422j),(-0.9824184295354765-0.18669233864582627j),(0.00030015306777806316-0.9999999549540669j),-0.0005336387741456117,0.0020040026124300107,-1.6017331514513033e-07,3.3293868600085994,-0.025770133902392404,(-0.6957704372699185-0.13023030983619613j),[-0.71670142-0.11607353j],[0.72603965]
1678,(-0.9824348403391059-0.1866059604832482j),(0.9824348403391059+0.1866059604832482j),-2.9538863704412353,-2.9537984471709873,(0.9833379635532894+0.18664471592744605j),(-0.982040475541611-0.18867035908697094j),(0.6886517798395293-0.7250922190479281j),-0.00021845539245118895,0.0019957745313969773,-0.00015043969482705414,3.3314006662201296,-0.02610444054130633,(-0.7130107060669253-0.13533463124540202j),[-0.71577885-0.11736442j],[0.7253367]
1679,(-0.9820587790151875-0.18857506346067934j),(0.694420422165464+0.13334270613573831j),-2.951881678444702,-2.951784640959456,(0.6944266678135085+0.13380463341271978j),(-0.9816604079525738-0.19063799059575287j),(0.99965929844003-0.026101475866070083j),0.0003838370503549404,0.0020248052187136953,0.0003837062764731102,3.33340466883256,6.569780991481922e-05,(-0.01812556091068976-0.00349249840979046j),[-0.71561701-0.11879763j],[0.72541031]
1680,(-0.9816787663279501-0.19054343268880655j),(-1.925966174949942e-14-3.738292186864875e-15j),-2.9498769619044762,-2.9497806383470264,(-0.0005911441872553199+0.00034839938989155133j),(-0.9812779827258223-0.19259678246933598j),(0.7070603242937107+0.7071532350273685j),0.00045470442722208177,0.002021945364578201,0.0003215034597694311,3.3354004433639566,0.0003881725646143726,(-0.000418029524385224+0.000246371755643372j),[-0.71603981-0.12033585j],[0.72608074]
1681,(-0.9812948036596894-0.19251106022899508j),(-0.6938802100108011-0.13612587614131724j),-2.9478722208205586,-2.947784863815629,(-0.6942067613604979-0.13659770350290867j),(-0.9808860004832427-0.19458328308461664j),(-0.00038817255493533087+0.9999999246610309j),-0.00033833033182417704,0.0020048074302451966,1.3133054931630908e-07,3.33742524858267,-0.02562550118673095,(-0.6942067090596762-0.1365976932117785j),[-0.71570487-0.12172182j],[0.72598153]
